Date,{"SpaceDryBulbTemperature":"Kids Bedroom"},{"SpaceDryBulbTemperature":"Bathroom"},{"SpaceDryBulbTemperature":"Storage"},{"SpaceDryBulbTemperature":"Kitchen"},{"SpaceDryBulbTemperature":"Laundry"},{"SpaceDryBulbTemperature":"Livingroom"},{"SpaceDryBulbTemperature":"Main Bedroom"},{"SpaceDryBulbTemperature":"Hallway"}
02/16 - 16:45,20.320,20.674,20.449,20.717,20.719,20.403,20.100,20.359
02/16 - 17:00,20.311,20.664,20.445,20.705,20.711,20.390,20.093,20.354
02/16 - 17:15,20.298,20.651,20.440,20.688,20.702,20.370,20.084,20.347
02/16 - 17:30,20.284,20.636,20.434,20.669,20.692,20.346,20.073,20.341
02/16 - 17:45,20.269,20.620,20.429,20.649,20.682,20.321,20.061,20.334
02/16 - 18:00,20.253,20.605,20.424,20.630,20.672,20.294,20.049,20.327
02/16 - 18:15,20.237,20.589,20.418,20.610,20.661,20.266,20.036,20.320
02/16 - 18:30,20.223,20.574,20.412,20.592,20.651,20.239,20.024,20.313
02/16 - 18:45,20.212,20.563,20.405,20.580,20.641,20.217,20.013,20.305
02/16 - 19:00,20.199,20.554,20.399,20.567,20.632,20.189,19.994,20.298
02/16 - 19:15,20.179,20.539,20.392,20.549,20.620,20.158,19.985,20.289
02/16 - 19:30,20.171,20.521,20.385,20.527,20.607,20.125,19.969,20.281
02/16 - 19:45,20.143,20.494,20.378,20.497,20.595,20.088,19.955,20.272
02/16 - 20:00,20.122,20.471,20.371,20.481,20.582,20.066,19.943,20.264
02/16 - 20:15,20.100,20.454,20.363,20.452,20.568,20.035,19.926,20.255
02/16 - 20:30,20.090,20.433,20.355,20.429,20.554,20.011,19.912,20.246
02/16 - 20:45,20.071,20.415,20.347,20.411,20.540,19.985,19.897,20.236
02/16 - 21:00,20.056,20.395,20.339,20.377,20.525,19.961,19.882,20.227
02/16 - 21:15,20.039,20.376,20.331,20.371,20.511,19.940,19.868,20.218
02/16 - 21:30,20.024,20.358,20.322,20.350,20.496,19.920,19.855,20.208
02/16 - 21:45,20.010,20.347,20.314,20.327,20.480,19.900,19.842,20.199
02/16 - 22:00,19.996,20.328,20.305,20.299,20.467,19.879,19.828,20.190
02/16 - 22:15,19.983,20.304,20.297,20.294,20.451,19.859,19.811,20.180
02/16 - 22:30,19.969,20.283,20.288,20.267,20.438,19.838,19.799,20.171
02/16 - 22:45,19.955,20.277,20.280,20.246,20.422,19.818,19.787,20.161
02/16 - 23:00,19.941,20.259,20.271,20.224,20.406,19.794,19.773,20.152
02/16 - 23:15,19.930,20.243,20.262,20.206,20.393,19.779,19.762,20.142
02/16 - 23:30,19.918,20.227,20.254,20.199,20.378,19.764,19.752,20.133
02/16 - 23:45,19.904,20.211,20.245,20.180,20.363,19.745,19.742,20.124
02/17 - 0:00,19.888,20.187,20.236,20.145,20.345,19.727,19.726,20.114
02/17 - 0:15,19.858,20.154,20.227,20.103,20.327,19.687,19.702,20.105
02/17 - 0:30,19.827,20.121,20.218,20.062,20.309,19.638,19.677,20.095
02/17 - 0:45,19.794,20.087,20.209,20.019,20.291,19.583,19.650,20.086
02/17 - 1:00,19.768,20.060,20.199,19.985,20.274,19.532,19.627,20.076
02/17 - 1:15,19.750,20.040,20.190,19.962,20.258,19.498,19.610,20.067
02/17 - 1:30,19.735,20.022,20.180,19.940,20.242,19.470,19.595,20.057
02/17 - 1:45,19.719,20.003,20.171,19.918,20.226,19.445,19.581,20.047
02/17 - 2:00,19.704,19.985,20.161,19.896,20.209,19.422,19.566,20.037
02/17 - 2:15,19.689,19.966,20.152,19.873,20.193,19.400,19.552,20.027
02/17 - 2:30,19.673,19.948,20.142,19.851,20.177,19.378,19.537,20.018
02/17 - 2:45,19.658,19.929,20.133,19.828,20.161,19.356,19.523,20.008
02/17 - 3:00,19.644,19.912,20.123,19.807,20.144,19.335,19.509,19.998
02/17 - 3:15,19.630,19.895,20.113,19.787,20.128,19.316,19.496,19.988
